antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"nonflavanoid_phenols_Low, hue_Medium",flavanoids_Medium,0.3089887640449438,0.5056179775280899,0.25842696629213485,0.8363636363636365,1.6541414141414144,1.0,0.10219669233682618,3.021223470661676,0.5722870272180983,0.46464646464646475,0.6690082644628103,0.6737373737373739
"total_phenols_Low, alcalinity_of_ash_Medium",proanthocyanins_Low,0.2696629213483146,0.46629213483146065,0.20786516853932585,0.7708333333333334,1.653112449799197,1.0,0.08212346925893196,2.328907048008172,0.540956340956341,0.3936170212765958,0.5706140350877194,0.608308232931727
"proline_Low, flavanoids_Low, ash_Medium",proanthocyanins_Low,0.2696629213483146,0.46629213483146065,0.20786516853932585,0.7708333333333334,1.653112449799197,1.0,0.08212346925893196,2.328907048008172,0.540956340956341,0.3936170212765958,0.5706140350877194,0.608308232931727
"proline_Low, target_class_1",color_intensity_Low,0.3651685393258427,0.5786516853932584,0.34831460674157305,0.9538461538461539,1.6483943241224797,1.0,0.1370092160080798,9.129213483146078,0.6196117613474166,0.5849056603773586,0.8904615384615386,0.7778939507094847
"flavanoids_Low, ash_Medium","proline_Low, alcalinity_of_ash_Medium",0.3146067415730337,0.4550561797752809,0.23595505617977527,0.75,1.6481481481481481,1.0,0.09279131422800152,2.1797752808988764,0.5737704918032788,0.4421052631578947,0.5412371134020618,0.6342592592592593
"proline_Low, malic_acid_Low, target_class_1, magnesium_Low",color_intensity_Low,0.24157303370786518,0.5786516853932584,0.2303370786516854,0.9534883720930233,1.647776021675322,1.0,0.09055043555106679,9.05898876404495,0.5183378500451672,0.3904761904761905,0.8896124031007753,0.675773312260104
"malic_acid_Low, target_class_1, magnesium_Low",color_intensity_Low,0.24157303370786518,0.5786516853932584,0.2303370786516854,0.9534883720930233,1.647776021675322,1.0,0.09055043555106679,9.05898876404495,0.5183378500451672,0.3904761904761905,0.8896124031007753,0.675773312260104
"proline_Low, flavanoids_Low, total_phenols_Low",proanthocyanins_Low,0.2640449438202247,0.46629213483146065,0.20224719101123595,0.7659574468085106,1.6426557293001796,1.0,0.07912511046585029,2.280388151174668,0.5315945716709076,0.3829787234042553,0.5614781634938409,0.5998461932837734
"proline_Low, alcohol_Low",color_intensity_Low,0.21348314606741572,0.5786516853932584,0.20224719101123595,0.9473684210526315,1.6371997956055186,1.0,0.07871480873627068,8.005617977528082,0.4948412698412699,0.34285714285714286,0.8750877192982455,0.6484414920797138
total_phenols_Low,proanthocyanins_Low,0.33146067415730335,0.46629213483146065,0.25280898876404495,0.7627118644067797,1.6356953236675518,1.0,0.09825148339856082,2.2491974317817025,0.5813258636788051,0.463917525773196,0.5553969669937557,0.6524402695527876
"malic_acid_Low, target_class_1",color_intensity_Low,0.3089887640449438,0.5786516853932584,0.29213483146067415,0.9454545454545455,1.6338923212709624,1.0,0.11333796237848759,7.724719101123609,0.5614446529080677,0.4905660377358491,0.8705454545454547,0.7251544571932922
proanthocyanins_Low,flavanoids_Low,0.46629213483146065,0.4438202247191011,0.33707865168539325,0.7228915662650602,1.6287936556351992,1.0,0.130128771619745,2.007083536883244,0.7233333333333334,0.588235294117647,0.5017646342947548,0.7411926185755682
flavanoids_Low,proanthocyanins_Low,0.4438202247191011,0.46629213483146065,0.33707865168539325,0.759493670886076,1.6287936556351992,1.0,0.130128771619745,2.2191011235955065,0.6941077441077442,0.588235294117647,0.549367088607595,0.7411926185755682
"target_class_1, magnesium_Low","proline_Low, alcalinity_of_ash_Medium",0.30337078651685395,0.4550561797752809,0.2247191011235955,0.7407407407407407,1.627800640146319,1.0,0.08666834995581366,2.1019261637239164,0.5536290322580645,0.4210526315789474,0.524245895379916,0.6172839506172839
target_class_0,"malic_acid_Low, hue_Medium",0.33146067415730335,0.5,0.2696629213483146,0.8135593220338984,1.6271186440677967,1.0,0.10393258426966293,2.6818181818181825,0.5765056022408964,0.4799999999999999,0.6271186440677967,0.6764425823652638
"proline_Low, malic_acid_Low, target_class_1",color_intensity_Low,0.2752808988764045,0.5786516853932584,0.25842696629213485,0.9387755102040817,1.6223499108381219,1.0,0.09913521020073227,6.882022471910117,0.5293225480283116,0.4339622641509435,0.8546938775510206,0.6926887259758273
"hue_Medium, target_class_1",color_intensity_Low,0.2696629213483146,0.5786516853932584,0.25280898876404495,0.9375,1.6201456310679612,1.0,0.09676808483777302,6.741573033707866,0.5241025641025642,0.4245283018867925,0.8516666666666667,0.6871966019417476
"flavanoids_Low, alcalinity_of_ash_Medium, magnesium_Low",proline_Low,0.21348314606741572,0.601123595505618,0.20786516853932585,0.9736842105263158,1.619773733398918,1.0,0.07953541219542987,15.157303370786533,0.4864864864864864,0.34259259259259267,0.9340252038547072,0.6597393015248402
"proline_Low, total_phenols_Low",proanthocyanins_Low,0.2752808988764045,0.46629213483146065,0.20786516853932585,0.7551020408163266,1.6193754610277848,1.0,0.07950385052392375,2.17930711610487,0.5277603184579929,0.38947368421052625,0.5411385606874329,0.6004425866732236
"malic_acid_Low, od280/od315_of_diluted_wines_High",flavanoids_Medium,0.24719101123595505,0.5056179775280899,0.20224719101123595,0.8181818181818182,1.6181818181818182,1.0,0.077262971846989,2.7191011235955065,0.5074626865671641,0.36734693877551017,0.6322314049586778,0.6090909090909091
"flavanoids_Low, alcalinity_of_ash_Medium",proanthocyanins_Low,0.3202247191011236,0.46629213483146065,0.24157303370786518,0.7543859649122807,1.617839780173325,1.0,0.09225476581239744,2.1729534510433393,0.5617912742648473,0.44329896907216504,0.5397968605724839,0.6362291270344536
"flavanoids_Medium, target_class_0","malic_acid_Low, hue_Medium",0.29213483146067415,0.5,0.23595505617977527,0.8076923076923077,1.6153846153846154,1.0,0.0898876404494382,2.6,0.5381708238851096,0.4242424242424242,0.6153846153846154,0.6398012100259292
"alcalinity_of_ash_Medium, proanthocyanins_Low",flavanoids_Low,0.33707865168539325,0.4438202247191011,0.24157303370786518,0.7166666666666667,1.6147679324894515,1.0,0.09197071076884233,1.9629874421678786,0.5743003547497044,0.4479166666666667,0.4905723905723906,0.6304852320675105
"proline_Low, flavanoids_Low",proanthocyanins_Low,0.38202247191011235,0.46629213483146065,0.28651685393258425,0.75,1.608433734939759,1.0,0.10838277995202625,2.1348314606741576,0.6121212121212122,0.5099999999999999,0.531578947368421,0.6822289156626506
"proline_Low, hue_Medium, target_class_1",color_intensity_Low,0.24157303370786518,0.5786516853932584,0.2247191011235955,0.9302325581395349,1.6075863626100702,1.0,0.08493245802297689,6.039325842696629,0.4983333333333333,0.3773584905660377,0.8344186046511628,0.6592910363513208
"malic_acid_Low, hue_Medium, nonflavanoid_phenols_Low",flavanoids_Medium,0.2696629213483146,0.5056179775280899,0.21910112359550563,0.8125,1.6069444444444445,1.0,0.08275470268905441,2.636704119850187,0.5171597633136095,0.3939393939393939,0.6207386363636364,0.6229166666666667
"malic_acid_Low, flavanoids_Medium, target_class_0",hue_Medium,0.24719101123595505,0.5955056179775281,0.23595505617977527,0.9545454545454546,1.6029159519725558,1.0,0.08875142027521776,8.89887640449439,0.499644633972992,0.38888888888888884,0.8876262626262628,0.6753859348198971
"proline_Low, target_class_1, total_phenols_Medium",magnesium_Low,0.2247191011235955,0.5617977528089888,0.20224719101123595,0.9,1.6019999999999999,1.0,0.0760005049867441,4.382022471910113,0.48470209339774556,0.3461538461538461,0.7717948717948718,0.63
"malic_acid_Low, target_class_1, hue_Medium",color_intensity_Low,0.2303370786516854,0.5786516853932584,0.21348314606741572,0.9268292682926829,1.6017049490883257,1.0,0.08019820729705845,5.75842696629213,0.48809066461774875,0.3584905660377358,0.826341463414634,0.6478806535638172
