antecedents_str,consequents_str,support,confidence,lift
target_versicolor,sepal length (cm)_Medium,0.24,0.72,1.5211267605633803
"petal width (cm)_Medium, target_versicolor",sepal length (cm)_Medium,0.23333333333333334,0.7142857142857143,1.5090543259557345
"petal length (cm)_Medium, target_versicolor",sepal length (cm)_Medium,0.22666666666666666,0.7083333333333333,1.4964788732394365
petal width (cm)_Medium,sepal length (cm)_Medium,0.25333333333333335,0.7037037037037038,1.4866979655712054
"petal length (cm)_Medium, petal width (cm)_Medium, target_versicolor",sepal length (cm)_Medium,0.22,0.7021276595744681,1.4833682948756368
"petal length (cm)_Medium, petal width (cm)_Medium",sepal length (cm)_Medium,0.22,0.6875,1.4524647887323945
sepal width (cm)_Low,sepal length (cm)_Medium,0.20666666666666667,0.6595744680851063,1.3934671860952952
petal width (cm)_High,sepal length (cm)_Medium,0.2,0.6521739130434784,1.377832210655236
"petal width (cm)_High, target_virginica",sepal length (cm)_Medium,0.19333333333333333,0.6444444444444445,1.3615023474178405
target_virginica,sepal length (cm)_Medium,0.21333333333333335,0.6400000000000001,1.3521126760563382
petal length (cm)_High,sepal length (cm)_Medium,0.19333333333333333,0.6304347826086957,1.3319044703000613
"petal length (cm)_Low, sepal length (cm)_Low, target_setosa",sepal width (cm)_Medium,0.24,0.7659574468085105,1.3056092843326883
"petal length (cm)_Low, sepal length (cm)_Low",sepal width (cm)_Medium,0.24,0.7659574468085105,1.3056092843326883
"petal width (cm)_Low, sepal length (cm)_Low, target_setosa",sepal width (cm)_Medium,0.24,0.7659574468085105,1.3056092843326883
"petal width (cm)_Low, sepal length (cm)_Low",sepal width (cm)_Medium,0.24,0.7659574468085105,1.3056092843326883
"sepal length (cm)_Low, target_setosa",sepal width (cm)_Medium,0.24,0.7659574468085105,1.3056092843326883
"petal length (cm)_Low, petal width (cm)_Low, sepal length (cm)_Low, target_setosa",sepal width (cm)_Medium,0.24,0.7659574468085105,1.3056092843326883
"petal length (cm)_Low, petal width (cm)_Low, sepal length (cm)_Low",sepal width (cm)_Medium,0.24,0.7659574468085105,1.3056092843326883
"petal length (cm)_High, target_virginica",sepal length (cm)_Medium,0.18,0.6136363636363636,1.296414852752881
"petal length (cm)_High, petal width (cm)_High",sepal length (cm)_Medium,0.16,0.6,1.2676056338028168
"petal length (cm)_High, petal width (cm)_High, target_virginica",sepal length (cm)_Medium,0.16,0.6,1.2676056338028168
petal width (cm)_Low,sepal width (cm)_Medium,0.24,0.72,1.2272727272727273
"petal length (cm)_Low, petal width (cm)_Low, target_setosa",sepal width (cm)_Medium,0.24,0.72,1.2272727272727273
"petal length (cm)_Low, petal width (cm)_Low",sepal width (cm)_Medium,0.24,0.72,1.2272727272727273
"petal length (cm)_Low, target_setosa",sepal width (cm)_Medium,0.24,0.72,1.2272727272727273
petal length (cm)_Low,sepal width (cm)_Medium,0.24,0.72,1.2272727272727273
"petal width (cm)_Low, target_setosa",sepal width (cm)_Medium,0.24,0.72,1.2272727272727273
target_setosa,sepal width (cm)_Medium,0.24,0.72,1.2272727272727273
"petal length (cm)_High, petal width (cm)_High",sepal width (cm)_Medium,0.17333333333333334,0.65,1.1079545454545454
"petal length (cm)_High, petal width (cm)_High, target_virginica",sepal width (cm)_Medium,0.17333333333333334,0.65,1.1079545454545454
petal width (cm)_High,sepal width (cm)_Medium,0.19333333333333333,0.6304347826086957,1.074604743083004
sepal length (cm)_Low,sepal width (cm)_Medium,0.24666666666666667,0.6271186440677966,1.0689522342064715
"petal width (cm)_High, target_virginica",sepal width (cm)_Medium,0.18666666666666668,0.6222222222222222,1.0606060606060606
"petal length (cm)_High, target_virginica",sepal width (cm)_Medium,0.18,0.6136363636363636,1.0459710743801653
petal length (cm)_High,sepal width (cm)_Medium,0.18666666666666668,0.6086956521739131,1.0375494071146245
