antecedents_str,consequents_str,support,confidence,lift
"sepal length (cm)_Low, target_setosa",petal length (cm)_Low,0.31333333333333335,1.0,3.0
"petal length (cm)_Low, sepal length (cm)_Low",target_setosa,0.31333333333333335,1.0,3.0
"petal width (cm)_Low, sepal length (cm)_Low",petal length (cm)_Low,0.31333333333333335,1.0,3.0
"petal length (cm)_Low, sepal length (cm)_Low",petal width (cm)_Low,0.31333333333333335,1.0,3.0
"petal width (cm)_Low, sepal length (cm)_Low",target_setosa,0.31333333333333335,1.0,3.0
"sepal length (cm)_Low, target_setosa",petal width (cm)_Low,0.31333333333333335,1.0,3.0
"petal length (cm)_High, petal width (cm)_High",target_virginica,0.26666666666666666,1.0,3.0
"sepal length (cm)_Low, sepal width (cm)_Medium, target_setosa",petal length (cm)_Low,0.24,1.0,3.0
"petal length (cm)_Low, sepal length (cm)_Low, sepal width (cm)_Medium",target_setosa,0.24,1.0,3.0
"petal length (cm)_Low, petal width (cm)_Low, sepal width (cm)_Medium",target_setosa,0.24,1.0,3.0
"petal width (cm)_Low, sepal width (cm)_Medium, target_setosa",petal length (cm)_Low,0.24,1.0,3.0
"petal length (cm)_Low, sepal width (cm)_Medium, target_setosa",petal width (cm)_Low,0.24,1.0,3.0
"petal width (cm)_Low, sepal width (cm)_Medium","petal length (cm)_Low, target_setosa",0.24,1.0,3.0
"petal length (cm)_Low, sepal width (cm)_Medium","petal width (cm)_Low, target_setosa",0.24,1.0,3.0
"sepal width (cm)_Medium, target_setosa","petal length (cm)_Low, petal width (cm)_Low",0.24,1.0,3.0
"petal width (cm)_Low, sepal width (cm)_Medium",petal length (cm)_Low,0.24,1.0,3.0
"petal length (cm)_Low, sepal width (cm)_Medium",petal width (cm)_Low,0.24,1.0,3.0
"sepal width (cm)_Medium, target_setosa",petal length (cm)_Low,0.24,1.0,3.0
"petal length (cm)_Low, sepal width (cm)_Medium",target_setosa,0.24,1.0,3.0
"petal width (cm)_Low, sepal length (cm)_Low, sepal width (cm)_Medium",target_setosa,0.24,1.0,3.0
"sepal length (cm)_Low, sepal width (cm)_Medium, target_setosa",petal width (cm)_Low,0.24,1.0,3.0
"petal width (cm)_Low, sepal width (cm)_Medium",target_setosa,0.24,1.0,3.0
"sepal width (cm)_Medium, target_setosa",petal width (cm)_Low,0.24,1.0,3.0
"petal length (cm)_Low, sepal length (cm)_Low, sepal width (cm)_Medium, target_setosa",petal width (cm)_Low,0.24,1.0,3.0
"petal width (cm)_Low, sepal length (cm)_Low, sepal width (cm)_Medium, target_setosa",petal length (cm)_Low,0.24,1.0,3.0
"petal length (cm)_Low, petal width (cm)_Low, sepal length (cm)_Low, sepal width (cm)_Medium",target_setosa,0.24,1.0,3.0
"sepal length (cm)_Low, sepal width (cm)_Medium, target_setosa","petal length (cm)_Low, petal width (cm)_Low",0.24,1.0,3.0
"petal length (cm)_Low, sepal length (cm)_Low, sepal width (cm)_Medium","petal width (cm)_Low, target_setosa",0.24,1.0,3.0
"petal width (cm)_Low, sepal length (cm)_Low, sepal width (cm)_Medium","petal length (cm)_Low, target_setosa",0.24,1.0,3.0
"petal width (cm)_Low, sepal length (cm)_Low, sepal width (cm)_Medium",petal length (cm)_Low,0.24,1.0,3.0
"petal length (cm)_Low, sepal length (cm)_Low, sepal width (cm)_Medium",petal width (cm)_Low,0.24,1.0,3.0
"petal length (cm)_Medium, petal width (cm)_Medium, sepal length (cm)_Medium",target_versicolor,0.22,1.0,3.0
"petal length (cm)_High, petal width (cm)_High, sepal width (cm)_Medium",target_virginica,0.17333333333333334,1.0,3.0
"petal length (cm)_High, petal width (cm)_High, sepal length (cm)_Medium",target_virginica,0.16,1.0,3.0
"petal length (cm)_Low, petal width (cm)_Low","sepal length (cm)_Low, target_setosa",0.31333333333333335,0.9400000000000001,3.0
"petal width (cm)_Low, target_setosa","petal length (cm)_Low, sepal length (cm)_Low",0.31333333333333335,0.9400000000000001,3.0
"petal length (cm)_Low, target_setosa","petal width (cm)_Low, sepal length (cm)_Low",0.31333333333333335,0.9400000000000001,3.0
petal width (cm)_Low,"petal length (cm)_Low, sepal length (cm)_Low, target_setosa",0.31333333333333335,0.9400000000000001,3.0
petal length (cm)_Low,"petal width (cm)_Low, sepal length (cm)_Low, target_setosa",0.31333333333333335,0.9400000000000001,3.0
target_setosa,"petal length (cm)_Low, petal width (cm)_Low, sepal length (cm)_Low",0.31333333333333335,0.9400000000000001,3.0
target_setosa,"petal length (cm)_Low, sepal length (cm)_Low",0.31333333333333335,0.9400000000000001,3.0
petal length (cm)_Low,"sepal length (cm)_Low, target_setosa",0.31333333333333335,0.9400000000000001,3.0
petal width (cm)_Low,"petal length (cm)_Low, sepal length (cm)_Low",0.31333333333333335,0.9400000000000001,3.0
petal length (cm)_Low,"petal width (cm)_Low, sepal length (cm)_Low",0.31333333333333335,0.9400000000000001,3.0
petal width (cm)_Low,"sepal length (cm)_Low, target_setosa",0.31333333333333335,0.9400000000000001,3.0
target_setosa,"petal width (cm)_Low, sepal length (cm)_Low",0.31333333333333335,0.9400000000000001,3.0
target_virginica,"petal length (cm)_High, petal width (cm)_High",0.26666666666666666,0.8,3.0
target_setosa,"petal length (cm)_Low, sepal length (cm)_Low, sepal width (cm)_Medium",0.24,0.72,3.0
petal length (cm)_Low,"sepal length (cm)_Low, sepal width (cm)_Medium, target_setosa",0.24,0.72,3.0
"petal length (cm)_Low, petal width (cm)_Low","sepal width (cm)_Medium, target_setosa",0.24,0.72,3.0
